recv	ack	#330,	sack	#361
send	data	#371,	winSize = 14
recv	ack	#330,	sack	#362
send	data	#372,	winSize = 14
recv	ack	#330,	sack	#363
send	data	#373,	winSize = 14
recv	ack	#330,	sack	#364
send	data	#374,	winSize = 14
recv	ack	#330,	sack	#365
send	data	#375,	winSize = 14
recv	ack	#330,	sack	#366
send	data	#376,	winSize = 14
recv	ack	#330,	sack	#367
send	data	#377,	winSize = 14
recv	ack	#330,	sack	#369
send	data	#378,	winSize = 14
recv	ack	#341,	sack	#331
send	data	#379,	winSize = 14
recv	ack	#341,	sack	#370
send	data	#380,	winSize = 14
recv	ack	#341,	sack	#371
send	data	#381,	winSize = 14
recv	ack	#341,	sack	#372
send	data	#382,	winSize = 14
resnd	data	#342,	winSize = 14
recv	ack	#341,	sack	#373
send	data	#383,	winSize = 14
recv	ack	#341,	sack	#374
send	data	#384,	winSize = 14
recv	ack	#341,	sack	#375
send	data	#385,	winSize = 14
recv	ack	#341,	sack	#376
send	data	#386,	winSize = 14
recv	ack	#341,	sack	#377
send	data	#387,	winSize = 14
recv	ack	#341,	sack	#378
send	data	#388,	winSize = 14
recv	ack	#341,	sack	#379
send	data	#389,	winSize = 14
recv	ack	#341,	sack	#341
recv	ack	#341,	sack	#382
send	data	#390,	winSize = 14
recv	ack	#345,	sack	#342
send	data	#391,	winSize = 14
recv	ack	#345,	sack	#383
send	data	#392,	winSize = 14
recv	ack	#345,	sack	#384
send	data	#393,	winSize = 14
recv	ack	#345,	sack	#385
send	data	#394,	winSize = 14
resnd	data	#346,	winSize = 14
recv	ack	#345,	sack	#386
send	data	#395,	winSize = 14
recv	ack	#345,	sack	#387
send	data	#396,	winSize = 14
recv	ack	#345,	sack	#388
send	data	#397,	winSize = 14
recv	ack	#345,	sack	#389
send	data	#398,	winSize = 14
recv	ack	#345,	sack	#390
send	data	#399,	winSize = 14
recv	ack	#345,	sack	#345
recv	ack	#345,	sack	#392
send	data	#400,	winSize = 14
recv	ack	#345,	sack	#345
recv	ack	#345,	sack	#394
send	data	#401,	winSize = 14
recv	ack	#356,	sack	#346
send	data	#402,	winSize = 14
recv	ack	#356,	sack	#395
send	data	#403,	winSize = 14
recv	ack	#356,	sack	#396
send	data	#404,	winSize = 14
recv	ack	#356,	sack	#397
send	data	#405,	winSize = 14
resnd	data	#357,	winSize = 14
recv	ack	#356,	sack	#398
send	data	#406,	winSize = 14
recv	ack	#356,	sack	#399
send	data	#407,	winSize = 14
recv	ack	#356,	sack	#400
send	data	#408,	winSize = 14
recv	ack	#356,	sack	#401
send	data	#409,	winSize = 14
recv	ack	#356,	sack	#356
recv	ack	#356,	sack	#404
send	data	#410,	winSize = 14
recv	ack	#356,	sack	#405
send	data	#411,	winSize = 14
recv	ack	#367,	sack	#357
send	data	#412,	winSize = 14
recv	ack	#367,	sack	#406
send	data	#413,	winSize = 14
recv	ack	#367,	sack	#407
send	data	#414,	winSize = 14
recv	ack	#367,	sack	#408
send	data	#415,	winSize = 14
resnd	data	#368,	winSize = 14
recv	ack	#367,	sack	#409
send	data	#416,	winSize = 14
recv	ack	#367,	sack	#410
send	data	#417,	winSize = 14
recv	ack	#367,	sack	#411
send	data	#418,	winSize = 14
recv	ack	#367,	sack	#367
recv	ack	#367,	sack	#413
send	data	#419,	winSize = 14
recv	ack	#367,	sack	#414
send	data	#420,	winSize = 14
recv	ack	#367,	sack	#415
send	data	#421,	winSize = 14
recv	ack	#367,	sack	#416
send	data	#422,	winSize = 14
recv	ack	#367,	sack	#417
send	data	#423,	winSize = 14
recv	ack	#367,	sack	#418
send	data	#424,	winSize = 14
recv	ack	#367,	sack	#419
send	data	#425,	winSize = 14
recv	ack	#367,	sack	#420
send	data	#426,	winSize = 14
recv	ack	#367,	sack	#422
send	data	#427,	winSize = 14
recv	ack	#367,	sack	#423
